review,rating
"This is best thing you can get at this price from a reputed brand with Made in India tag. First time I ordered on the first day of online launch and am happy. I'm writing after few days of usage, but this should not be different as my experience with Samsung has been most consistent as compared to other mobile brands I've used earlier.Good:- Android 10! Beautiful looks! Finally I can delete SMS from notification now!!- Display is excellent with Blue light filter.- Performance is good. No heating or lagging. Real Racing worked fine.- 6000 Mah battery is BIG- 128 GB storage is pretty good. 512 GB card supported with dedicated external card slot.- Both dedicated sim slots support LTE- Fast charging and 15W charger top with phone. The phone came with 0% charge. Charged fast.- Mobile speakers sound is good, but I prefer external speakers for better bass in music.- Camera is really good. Macro performance is very good - look at skin in tatoo photo and dust perticles in deskphone photo!! (photos of M31 are from other phone). Both front and rear camera support FHD video 3840x2160. I may not require to carry my DSLR everyehere.- Face unlock / figure-print sensor response is good- Received next day by 11 AM !Not So Good:- Not that thin, but ok.- Doesn't have Samsung Dex- Started to Boot Screen!! Gave me a little shock but selected reboot option and then every thing was smooth. An Android Updated (other than many application updates which is normal in any case) appeared on within days of launch. But update was smooth. No issue at all.- Feels delicate in hand but a Rs.49 cover was good enough. Wrongly ordered black while the set is blue. Just 49 so will reorder the blue one as well :)- Called Samsung Store, but no information with them about availability date. Still no call from them.Feedback- Feels good in hand and in use. It is a powerhouse and you feel it.- Will update after few days of use, but don't have any doubt as of now.Go for it without any doubt.",5.0
"Best camera, very good battery life, eat body material, average weight, best performance,  best display.",5.0
3rd class front camera. 32 MP front camera n looks like 2mp front camera. In very disappointed  with this kind of front camera. Need refund.,1.0
"Lets just begin with the obvious. This phone's quality doesn't meet the claims made.Cons:1. Camera Quality: Picture quality is just awful. Its worse than a 8MP camera. The pixelization is obvious and it is definitely not a 64MP camera. Do not believe the claims Samsung might make. The quad camera is of no use as the macro camera reminds me of the decade when VGA cameras were common.2. Battery: Samsung may claim the battery will last for two days but it didnt last that long - no Netflix, Prime Video, heavy games being used. So that makes two of the biggest features useless.3. Amazon's Policy: In case you don't like the phone, Amazon has made sure you are stuck with it. The switch from 10 day ""return"" policy to 10 day ""replacement"" policy is dowright wrong! Hold onto the shutters physical mobile stores - your days are not over yet. When you do request for replacement, there is an inspection of the phone at buyer's site - which I understand but the fact that replacement will occur almost on the 10th day from my purchase still keeps me at unease.Pros:1. Display: The screen quality is good and has adjustment options for warm light and cold light.2. Performance: Streaming videos and playing heavy games was smooth for the first 4 days but then again Samsung is known for fast deterioration of performance, so I will keep my eyes and ears open.3. Sound: Speaker quality is okay but not upto the mark. In a noisy place you fail to hear the crispness and the boom.",1.0
"The phone was wrapped in dust. Although it was seal packed, still many dust were on screen and back side. It shows security concerns and Amazon, Samsung and seller must draw its attention. How dust can be reached in seal packed box? Now I'm lacking trust in Amazon,Samsung and seller. Either my phone was used or its components might have replaced, as in brand new phone,there exists no dusts because they are built in factory, but here shows how they are playing with the customer and their product.Phone is nice, large battery backup of more than 2 days, 6.4 display is big, camera is perfect and 6GB ram is enough for daily usage. All things are good. No heating issue.However my only concern is ""dust"" and how it came there if its brand new.So I could give 5 star,but now 1 is enough.Beware of Amazon,Samsung and seller.",1.0
"I am using it from 3 days , 6000 mah battery is just for name only, it work for 1-1.25 days only with moderate usage.64mp camera doesn't support zoom, camera doesn't support 60fps video recording.Build quality is not good, plastic back with lots of figure prints in few minutes handling, not look new in few seconds.Face unlock very slow.Heat issue which charging and heavy usageFull charge takes more than 3 hrsWould not recommend to buy , if you are looking  for good camera phonego with other brands like oppo or redmi , giving much better quality",1.0
"Software is no working. No sounds in media, cant attend calls, every 5 mints phone gone to switched off and even though no retraining option.",1.0
"Phone camera is not good , samsung says it's 64 mega pixel but its photos like 8 megapixels .photo detailing are not good  . Also processor is not Upton the mark it's some time slow and hang in multi function use . While using keyboard , keyboard hide automatically for 1 second . My mobile variant is 6 GB 128 GB. Don't waste your time and money .",2.0
"Camera front is worst, not up to the mark. Waste of money. ,",1.0
Not a Samsung performance. It seems it was launched without proper test n trials. I already had M30 so decided to buy M31 (6GB). But got shocked to see the poor performance n battery life. The 64MP images can't be sent easily to someone on WhatsApp. Camera give errors now n then. Battery life worst then M30 which has 5000mh. Mobile heats on charging.,3.0
UNTILL I AM USING REDMI NOTE 7 PROI WANT TO PURCHASE POCO X2 BUT BECAUSE OF IS FLASH SALEIT OUT OF STOCKI AM USING SAM M31 FROM LAST 5 DAYS OVERALL MY IMPRESSION IS  ITS 6000MH BATTERY1  SUPER AMOLED DISPLAY AT THIS PRICE2  64 MP CAMERA3  PHONES PERFORMANCE IS VERY SLOW4  I CAN NOT SINE ANY DRAMATIC CHANDE IN CAMERA QUALITY IN THIS PHONE5  SAMSUNG HAS TO WORK IN OPTEMISSING SOFTWARE TO INCREASE THE PHONES PERFORMANCE6  REDMI NOTE 7 PRO BOOTS FASTER THAN SAM M31,3.0
"Worst mobile was I got , Samsung m31 taking more time for charging 100% , it's almost 4 hours for charging , and after that 20 hours battery I'll train 0% its waste of time compare to other fast charging mobile , and camera worst",1.0
"I bought this mobile in last Friday , it is not working from 6th day.  Unable to receive calls and if unexpectedly I received a call not getting  sound and I can't here the opposite person voice or my voice to them. When I try to call someone automatically network is getting disconnected and it's reconnecting automatically in few minutes. I expect this might be  software issue , I have gone through lot of reviews ,maximum number of people who buyed this mobile facing this issue.Unable to replace the mobile also as it is not showing any option to me.",1.0
"I have been using this for 15-20 days now and I am even more disappointed!I have been using POCO F1 since the last 1.5 years and I regret to have chosen to move back to Samsung!I so miss my POCOFirst the pros1. The brand name - if you think it is one!2. The display - It's super AMOLED and it's brilliant3. The rear camera - clicks good enough photos4. Build - seems decentCons:1. The UI - It's a big duffer. Samsung's smart switch was a pathetic attempt to move the contacts etc. Had I not cross checked, I would have been crying2. The contact list - It seems like using an age old NoKia device today3. Virtual Buttons - They aren't customizable 😭. What kinda innovation is this4. Clear all apps - it kills the current app too😬. I killed my game many times while trying to fasten up this idiot device5. Gaming - The phone slows down in 10-15 minutes. It's anyways a slow device6. Front camera - it no better than an age old 2MP camera. The image processing is idiotic7. Notifications - This idiot forgets to send email notifications. I have to manually keep checking my emails😭. Believe me, I have tried all settings8. Notification Badges - Does not display any badges on the apps 😂🤣. You have to pull down the notification bar and keep checking9. Dual Apps: This idiot does not support dual apps. Only messengers are supported. I have two accounts on amazon and amazon is not supported in dual apps. Similarly I have two accounts to manage on Linkedin.The more I use this idiot device, the more it frustrates meAnyone who recommends Samsung can kindly stay away from me nowWhat a waste of Money this has been",2.0
Received it on time within 24 hours thumps up to amazon. Now Product. Done all the settings. I am using samsung after a long gap of 8-10 years. After Samsung Grand I had stopped using. So setting done now data transfer Samsung's smart switch option is fantastic. Everything I wanted to transfer got it. No problem at all .Now SIM transferred. Done OK it is dual 4G VOLTE and above all it is having separate slot for micro sd card. Effortless working.Now Camera. It has got lot of options. All I have not yet tried but for sure I have checked the quality of the photograph and the night mode is superb. What else you want to know rest of the things are written in detail and is true. Working very fine. Proud to won it. Nice Product. Samsung should keep competing iPhone,5.0
"What is this samsung,i didn't expect from you.plastic body is ok we can use cover.Corning gorella glass 3 is ok we can use tempered protection.Even 3 hr charging time is ok we can charge during night.But Overheating how can we deal with them !this price range other companies providing super fast , cool processor like snapdragon 730G.& What you do fooling customers.",1.0
Nice phone in this price range,5.0
"Cons:1. RAM. Claims to be 6GB, whereas my 2year old phone with 4GB RAM has much smoother display2. Battery Charging. Claims 15W fast charging. Takes more than 2 hours to charge the phone.Pros:1. Good cameras2. Perfect screen sizeI bought it as a great deal from Samsung, but it is a BIG dissappointment. And they say it cannot be returned. Total waste of money for me. Redmi Note pro 8 is much better than this at same price.",2.0
"1) claims 21 hour of internet usage timing, i started using it after 100charged  but it barely last for 24 hour with 5 hour of heavy usage and even turned mobile in bettery saving mode.  so what is the point of carry that much heavy 191gm device all around.2) phone heats a lot while its charging ,like you can't even touch it at some point.3)internet bandwith speed in mobile as well as in wifi is not good. i had a samsung galaxy note3 where i get fast internet with same network. wanted to return this device but they had a very strict policy so you cannot return, you can only replace it.  even i am trying it for replacement it wont let me as i have to download balencco app and this app never say your phone is not working fine. i could have spend my money in buying other phone.bought on very first minute of release but al excitment turned down after seeing actual performance.",2.0
"i am a Big fan of Samsung products, but today i got a dead phone, first i thought it don't have charging so try to charge the phone but no response,i am really really disappointed today. but thanks to amazon the responded quickly and ordered a replacement. but now i am worried about phone performance now. how i am going to handle if future same problem arises. before buy think again.",1.0
"Ordered Samsung Galaxy M31 within 5 minutes after sale starts. Really impressed by the quality of the camera. All 4 back cameras are working great. Wide angle feature is great. Live focus, Macro and Slow-motion features are awesome. Front camera is very good. It captures the photo very well in all types of lightning and background. Battery backup is good. 100% to 20% in around 30 hours with average usage. Screen resolution and touch is very good. Go for it if you have your budget less than 16k and looking for awesome camera and screen resolution.After 2 months usage: Battery charging takes more than 3 hours from 30% to 100% even though it shows Fast charging.  Battery is draining quickly when using mobile hotspot.Phone is heating too much. My kid is fearing to take my phone because of this heating issue (Don't know whether it is pros or cons 😜). Think before buying this phone.Edit: After 9 months of usage: I am not facing the heating issues now. I had the heating problem while using hotspot for entire day. Battery backup is also good now. But facing some issues in camera. After the latest software update, the photos are some times showing our face like a black and white. This issue is happening only few times and the issue is on only around face. Complained to samsung but no action taken. They are asking for more logs from my phone. Other than this, phone is good to use.",5.0
"Camara is too bad. Sound clarity is not at all good ... though it looks like a premium phone ,but when you started using it makes you feel that you bought a cheap quality product. Gets frequently stuck and restarts for no reason.",1.0
"Very poor quality, phone touch stopped responding on few areas suddenly. Didn't expected this from Samsung. I am not able to use from a month.. :(Tried connecting customer service and they asked to go service center when it opens after lockdown. On asking whether my warranty period would be extended due to this, they completely denied.. I am feeling cheated now. :((Don't buy this phone !!",1.0
Dear all pls don't pay this product. Over heating issue and slow charging time 5.30 hours in full charge over slow .and proper not working in sensor..so pls don't pay ..waste your money,1.0
Hi all - whoever planning to buy M31 please don't its having a serious display issue showing lite pink and when we rotating less then 1 inch in any dimension its showing exact color otherwise direct view showing pink ..half showing one color half display in another color. They are not taking return for this product. Used Samsung before but now thinking never to buy anymore. I want return or replacement from amazon,1.0
"Hello all,Here I am writing the review of the product after using 20 days, this mobile given the most worst experience.After using 20 days the display is not working, It has stopped working while I am using the mobile.And the Call quality also worst.Unable to connect the calls, every time we have to restart to call some one.Samsung service is also a given worst experience.No one will respond for your issue.No authorized centers will pickup the call and respond to your Query.My suggestions for the new buyers is don't go with this product.Thank you.",1.0
"hi,I purchased this phone few days back. So far I am quite happy with the battery life. I had both JIO connections on VOLTE-ON and no WIFI, so on Mobile DATA this phone performs too good. Approx 20 hrs of usage on mobile data, 8 hrs ON in a corner where JIO signal is low. works like a charm.On WIFI, it says 100 even after 5 hrs with a usage of about 20+ min. this is also good.Definitely, Samsung bloatware apps, that you cant uninstall.However, I dont like the UI/Launcher. One of the worst looking icons. I hope samsung is reading this. 3 stars for this.Some MISSING features for this price and as everyone else is providing.1. LED Flash for missed messages/cals, etc2. LED flash for incoming calls3. Reminders & Goals missing in Calendar4. All the Apps are Samsung proprietary. Contacts, Calls, Messages, Calendar, etc5. Camera - Good in bright light or outside. not so good inside room even with good lighting. Seems like it needs high lighting",4.0
So this is my edit review after using not more than 3months.. It has discolouration issue.. No any external force applied neither contact of water.. It happend when my phone's battery death and I plugged in with charger after then I putted off and I saw discolouration sudden..It started right bottom to top with pink and purple shade nd quickly spread overall display..And when I visited service center they directly denied to repair as told that it's not under in warranty.... Nd I'll have to bear that cost with Rs of 5000 to 6000 for change the display.. When I already spent 17000 Rs. to purchased new phone..DISGUSTING....And I believe that everyone keep their phone safely when atleast phone is new and expensive..I feel just regret about my decision and mistake I made to purchased this worst compny phone..But I surprised how Samsung play the scam game with their valuable customersNow I believe that Samsung is just fraud and fake and it's scam nd make fool to their customers in name of the warranty.I recommend to all Amazon buddies pls pls pls 🙏 don't go with Samsung Phone if you don't wanna waste your hard earn and valuable money....,1.0
Sorry but this time Amazon and Samsung really disappointed me.I have bought samsung m30 and m30 S earlier from Amazon and it was really a Goood great deal. But this time it was very disappointing and shameful. I bought m31 megamonster for my soulmate but she really got disappointed with phone and it was really hurting for me.Poor camera quality like a 2 megapixel cameraNot 64mpPoor battery like 3500mAh not 6000mAhDON'T BUY M31 U CAN GO FOR M30S. SORRY SAMSUNG,1.0
