review,rating
"Delivered on 9thfeb21,writing review on 11feb21,Only hype about bass...i wonder how worse wud be the non-bass version...I m using it with Samsung M21, music is worse than the wired earphones of Samsung...I bought only because of avilability of Oneplus service stations...Samsung U is around 5yrs old and with micro USB,Boat and others have horror stories as ther is no proper service...buying Sony at this price range is not reliable..So...these are the only quality headphones at this price available in the market...",2.0
"Used this for my iPhone 7 and no bass at all. It doesn’t sit very comfortably for me more so because I’m uncomfortable with the plugs which go a little into the ear. Still I thought I’d give it a try and I’m very disappointed. No issues with packaging though. Also, it’s very difficult to figure out if it’s an original piece based on the very mixed reviews here. I returned the item and the refund is initiated. Have placed an order for another brand’s ear plugs.",2.0
"It lasted for a month, yeah you read that right.One night as music was playing the music stopped coming to the left side. Pretty sure it's a loose connection, but still ! 2k for this is worth it if you consider what you get.Sound quality, passive noise cancellation, low bass.All the above are top notch. The build quality is top too. Materials used are fairly high quality.I guess I got a defective product. Will have to go to the store to see if they would replace. If they do, I'll let you know.If they don't replace, i don't think I would recommend it. Sennheiser provides replacement for their earphones which have loose connection.TBH this is the last time I'm buying any headphones or earphones with wires on it.",2.0
"The product was delivered the same day I purchased (Yaay! Amazon prime). But the earphone failed to impress me due to low vol in its right ear. I usually listen music at 60-80% volumes. So as soon I listened through these earphone I could tell there is some mismatch between volumes in the ears. So I listened again at low volume (30%) but could not hear anything from Right but the Left worked fine. I have opted for a replacement due to the right ear issue, although I wanted to return it but no option for it. Will update whether the problem still exists in the replaced earphone I get or not.Update: Received the replaced earphones, they still have the issue. I'm keeping it because of no return policy. However, the sound quality is good but bass is low, but okay.",2.0
"There is no issue with sound quality or battery,they are amazing.. BUT IN BASS EDITION THERE IS NO MULTIPLE CONNECTIVITY OR SWITCH OVER DEVICE TECHNOLOGY... SO IF YOU ARE USING 2 DEVICES ( MOBILE +TAB/LAPTOP) AND PLANNING TO BUY BASS EDITION THEN IT WILL GIVE YOU A BIG HEADACHE, EVERYTIME YOU HAVE TO MANUALLY SWITCH OVER BY DISCONNECTING ONE DEVICE AND THEN CONNECT ANOTHER ONE... THIS IS EVEN MORE FRUSTRATING WHEN YOUR EARPHONES ARE CONNECTED WITH TAB/LAPTOP AND YOU GET A CALL ON CELLPHONE...So if you're going to use it with a single device then Bass edition is  perfect for you otherwise choose normal one, you won't even notice bass difference..",2.0
Used it for 2 months after that it began disconnecting. It says 1 year warranty but doesn’t show how to claim. One plus website claims that warranty for products bought on their website will be given but not for those bought from elsewhere,2.0
"If you are an iphone user like I’m;Music listing in this: frustrating:Why ?Ans: when you play music in it you will listen glitch sound in every bit,Im having spotify premiumWhere they provide clear with beat quality music but i wont be able to enjoy such quality because of this negligence of product testing,If you are planning to buy it only for call purposes then good to go but,Hey its 2000 rs,You should have your demands like i have ,As i dont have any option as i dont know what to do,I already return a product and get another one but same problem,Look like manufacturing issue.1+ if you are reading this ,Please work up on your testing team,You can’t launch such product in market without proper premium quality testing.Disappointed..🥺",2.0
This product is looks good but I don't know there is issue in voice of you hear there is some voice cranky ness is there. You will definitely notice after use of a day or 2.I have got replaced item then also in replaced one also same problem is there don't now this issue with my product only or others also noticing this?I suggest go for wired one if wireless is not that much useful for you.,2.0
For media playing activities like watching videos and listening to music it's fine. The problem steps in when you make calls or receive one. There is an unusual noise along with the speech that both people hears which degrades the audio quality very much. I confirmed with a friend of mine who also has the same one plus bullets wireless neck band. He addressed the same issue. I started using the unit little late so I missed the product return window.To all folks out there I suggest you to go for the realme ones or maybe boat for hazzle free calling. For listening to music and playing games one plus ones is good.Battery backup is ok. I don't use it continuously. Lasted me more than a day. It's decent.,2.0
"Sound quality for audio and video files are very good. But these series of headphones are poor in call quality. Static disturbance and the other side cannot hear well. The internet has similar complaints but no FIX from the OnePlus team. DO NOT BUY IF U ARE LOOKING TO USE IT FOR CALLS. BUT if it's for audio and video usage, then perfect.",2.0
