review,rating
It's an awesome tv with an competitive video and audio quality with Sony it's a THUMBS UP for this perfect match for my living room Thanks MI for bringing this in the range.READ MORE,5.0
"REVIEW AFTER 2 WEEKS OF USErating: 3.5/5PROS:1.Value of money. You cant even think about a smart TV at this price.( i am not considering iffalcon, kevin ,vu or any other kind of alternate)2.Good sound quality , initially i thought 20 watt speakers are not enough but they are enough for our small living room.3. Patch wall is good and user friendly. You can use it like your phone. 4.  Two USB ports. you can use keyboard or mouse along with HD or Pen drive.5. Internet Connectivity ...READ MORE",4.0
PROS1) Value for money2) Speaker quality is good3) Patchwall OS is good and lots of content.4) Picture quality is standard but not excellant5) Standard build qualityCONS1) Though the display is LED but the panel used is LCD. It would have been better with IPS display.2) Dolby sound output is not working from HD DTH ( any company cable DTH ) box as this TV support only DTS sound. So you have to satisfy yourself with stereo sound.4) No Google play service to download application and...READ MORE,4.0
"1. Best excellent Awesome screen picture quality 1080 pi res. supported. Ui is beautiful.2. Superb sound quality. Bass is low but quality of music is very high.3. Best connectivity. Casting flawlessly.4. Easy to handle. Nice and faster 1 day Delivery .5. Don't know why people goes for Sony, Samsung or LG with more cost.6.It's an awesome tv with an competitive video and audio quality with Sony it's a THUMBS UP for this perfect match for my living room Thanks MI for bringing this in the r...READ MORE",5.0
"Excellent service from Flipkart and delivery within 24 hrs of purchase. Installation and demo from Jeeves company they installed within 24 hrs from Delivery.For MII recently purchase this Mi TV is looks good but one drawback is there no Hotstar and Sunxt, YouTube apps in the Patchwall TV. In the product description MI mention this apps are available but not and no South Indian Movie or channels available in this TV. it is very difficult and big drawback is Google play store is not there i...READ MORE",3.0
"Mi 4A TV - 32 inch (Honest Review)Sound : 10/10 really very loud and crystal clear.Performance : 9/10 lags a bit while multitasking.Display : 6.5/10.Features : 10/10 Flipkart's delivery was very fast received the TV within 2 days. & wall mounting and installation by the Jeeves was on the same day of delivery (within 2 hrs.)You can run apps like : YouTube, Gaana, Google Chrome, Hotstar without any problem just by installing one app known as ""aptoid TV"" after installing this apk from U...READ MORE",3.0
I am using the TV for last 10 days...There were many negative reviews about the product which leaded to think twice before purchasing the product. but finally I made the decision to purchase keeping in mind positive reviews and price of the smart tv.  I have some answer to them who put negative review to this splendid tv.1st. Yes the panel is LCD Panel but you will get enough side view to watch the tv with correct colour combination. 2nd. Display is awesome... some compained against the pi...READ MORE,5.0
"helllo guysI am writing this review after about 1.5 months of usage, and i m very sure that after reading this review you will not need to read any other reviews.i bought the 32"" model .the delivery was good and the product was delivered within 3 to 4 days.Moreover the packageing was very good so you need not worry about delivery damage.now let me very clear that i m not going to cover the specifications  in my review as you can find them on each and every website.what i will explain is th...READ MORE",4.0
"Awesome Mi tv 4A (32): *Worth to buy it*Display - video 720p, 1080p - super quality 4/5.Control - too easy 5/5.Wifi - super speed 5/5.Sound quality & effect is too good 5/5.Fast response smart TV 4/5. (Pendrive support, mobile connection)Nice remote control, so compact 5/5.Other features - 4/5.tv- less weight. Good packaging.#Awesome Flipkart.I'm so happy to have this Tv at my home.  Good installation service from jeeves.READ MORE",5.0
Mi tv is a bugdet tv so amd it has its pros and cons. Pros:1.good colour reproduction                                        2 Adaptive brightness                                                  3.crisp and loud sound(tv is on table top)          4.Design is good                                                    5.Patchwall UI is very user friendly                                                                                      !                                                          ...READ MORE,4.0
Mi tv is a bugdet tv so amd it has its pros and cons. Pros:1.good colour reproduction                                        2 Adaptive brightness                                                  3.crisp and loud sound(tv is on table top)          4.Design is good                                                    5.Patchwall UI is very user friendly                                                                                      !                                                          ...READ MORE,4.0
"ABSOLUTELY AMAZING. For this price segment you won't find a better TV (smart) in the Indian market. Picture quality is superb, PatchWall Interface is cool. Sound quality is above average. Overall very happy and satisfied with Mi TV. Thank you Flipkart for delivering this awesome product.READ MORE",5.0
"Pros1.picture quality is very amazing2.sound is really amazing3.connectivy also good and some mobile with stock Android dont have ""wireless display"" option and miracast is not work  with ""wifi direct"" option.4. 4K videos also play with vlc media player5. we also able to install apps from pendrive6. hotstar is working fine with 1080p quality7. normal videocon setof box all good if u watch tv in long distance8. if u will use hd dth box it is worthCons 1. nothing i was notedREAD MORE",5.0
